,chromosome,start,stop,gene,score,strand,thickStart,thickEnd,gene_id
4220,chr2R,11985372,11985432,RIR2_1,900,-,11985372,11985383,RIR2
4221,chr2R,11985943,11986003,CG34231_1,900,+,11985992,11986003,CG34231
4222,chr2R,11988762,11988822,rho-7_1,900,-,11988762,11988773,rho-7
4223,chr2R,11989083,11989143,CG8298_1,900,+,11989132,11989143,CG8298
4224,chr2R,12019834,12019894,otk_1,900,-,12019834,12019845,otk
4225,chr2R,12025259,12025319,otk2_1,900,-,12025259,12025270,otk2
4226,chr2R,12027677,12027737,Mppe_1,900,-,12027677,12027688,Mppe
4227,chr2R,12027940,12028000,pds5_1,900,+,12027989,12028000,pds5
4230,chr2R,12037192,12037252,CG43191_1,900,-,12037192,12037203,CG43191
4231,chr2R,12037258,12037318,128up_1,900,+,12037307,12037318,128up
4232,chr2R,12038994,12039054,RpIII128_1,900,+,12039043,12039054,RpIII128
4233,chr2R,12044566,12044626,Drep-1_1,900,+,12044615,12044626,Drep-1
4234,chr2R,12051683,12051743,CG30039_1,900,-,12051683,12051694,CG30039
4235,chr2R,12052889,12052949,CG44314_1,900,+,12052938,12052949,CG44314
4236,chr2R,12055039,12055099,Drep-3_1,900,+,12055088,12055099,Drep-3
4237,chr2R,12079526,12079586,CG8888_1,900,-,12079526,12079537,CG8888
4238,chr2R,12081191,12081251,CG13186_1,900,+,12081240,12081251,CG13186
4241,chr2R,12138728,12138788,CG18343_1,900,+,12138777,12138788,CG18343
4242,chr2R,12140244,12140304,SkpB_1,900,-,12140244,12140255,SkpB
4243,chr2R,12140604,12140664,CG8378_1,900,+,12140653,12140664,CG8378
4244,chr2R,12144541,12144601,OSCP1_1,900,-,12144541,12144552,OSCP1
4245,chr2R,12145692,12145752,Hen1_1,900,+,12145741,12145752,Hen1
4248,chr2R,12153325,12153385,CG8407_1,900,+,12153374,12153385,CG8407
4249,chr2R,12163001,12163061,Prp8_1,900,-,12163001,12163012,Prp8
4250,chr2R,12163625,12163685,CG13177_1,900,+,12163674,12163685,CG13177
4251,chr2R,12165728,12165788,CG34232_1,900,-,12165728,12165739,CG34232
4252,chr2R,12168474,12168534,Oda_1,900,-,12168474,12168485,Oda
4253,chr2R,12168686,12168746,SmD3_1,900,+,12168735,12168746,SmD3
4254,chr2R,12174769,12174829,CG8862_1,900,+,12174818,12174829,CG8862
4255,chr2R,12178539,12178599,EndoG_1,900,-,12178539,12178550,EndoG
4256,chr2R,12179866,12179926,CG8860_1,900,-,12179866,12179877,CG8860
4259,chr2R,12182584,12182644,CG33964_1,900,+,12182633,12182644,CG33964
4260,chr2R,12184270,12184330,SmF_1,900,-,12184270,12184281,SmF
4261,chr2R,12185613,12185673,C6G1_1,900,+,12185662,12185673,C6G1
4262,chr2R,12190380,12190440,Cyp6g2_1,900,-,12190380,12190391,Cyp6g2
4263,chr2R,12198831,12198891,CG8858_1,900,-,12198831,12198842,CG8858
4264,chr2R,12200792,12200852,CG8857_1,900,-,12200792,12200803,CG8857
4265,chr2R,12211214,12211274,Sr-CII_1,900,-,12211214,12211225,Sr-CII
4266,chr2R,12213930,12213990,CG13171_1,900,+,12213979,12213990,CG13171
4269,chr2R,12240329,12240389,CG13170_1,900,+,12240378,12240389,CG13170
4270,chr2R,12241174,12241234,CG43315_1,900,+,12241223,12241234,CG43315
4271,chr2R,12242482,12242542,CG43316_1,900,+,12242531,12242542,CG43316
4272,chr2R,12244691,12244751,CG43244_1,900,-,12244691,12244702,CG43244
4273,chr2R,12253927,12253987,CG13168_1,900,+,12253976,12253987,CG13168
4274,chr2R,12257219,12257279,Vha36-2_1,900,+,12257268,12257279,Vha36-2
4275,chr2R,12259359,12259419,CALM_1,900,+,12259408,12259419,CALM
4281,chr2R,12302226,12302286,CG8850_1,900,-,12302226,12302237,CG8850
4282,chr2R,12306224,12306284,SIP2_1,900,-,12306224,12306235,SIP2
4285,chr2R,12310626,12310686,CG30203_1,900,+,12310675,12310686,CG30203
4286,chr2R,12314069,12314129,CG30046_1,900,+,12314118,12314129,CG30046
4287,chr2R,12321232,12321292,CG13163_1,900,+,12321281,12321292,CG13163
4290,chr2R,12326323,12326383,garz_1,900,+,12326372,12326383,garz
4291,chr2R,12335291,12335351,CG8490_1,900,+,12335340,12335351,CG8490
4292,chr2R,12336859,12336919,CG34021_1,900,+,12336908,12336919,CG34021
4295,chr2R,12344561,12344621,CG8839_1,900,-,12344561,12344572,CG8839
4296,chr2R,12344933,12344993,ana3_1,900,+,12344982,12344993,ana3
4297,chr2R,12351722,12351782,CG30047_1,900,+,12351771,12351782,CG30047
4298,chr2R,12355605,12355665,CG30049_1,900,+,12355654,12355665,CG30049
4299,chr2R,12359387,12359447,CG30043_1,900,+,12359436,12359447,CG30043
4300,chr2R,12367303,12367363,CG33012_1,900,+,12367352,12367363,CG33012
4301,chr2R,12371546,12371606,CG13160_1,900,+,12371595,12371606,CG13160
4302,chr2R,12375240,12375300,CG13159_1,900,+,12375289,12375300,CG13159
4303,chr2R,12376576,12376636,Cpr49Aa_1,900,+,12376625,12376636,Cpr49Aa
4304,chr2R,12378390,12378450,Cpr49Ab_1,900,+,12378439,12378450,Cpr49Ab
4305,chr2R,12380431,12380491,CG13155_1,900,-,12380431,12380442,CG13155
4308,chr2R,12386910,12386970,Cpr49Ac_1,900,+,12386959,12386970,Cpr49Ac
4309,chr2R,12391688,12391748,Cpr49Ad_1,900,-,12391688,12391699,Cpr49Ad
4310,chr2R,12394848,12394908,CG30048_1,900,+,12394897,12394908,CG30048
4311,chr2R,12402167,12402227,CG8505_1,900,+,12402216,12402227,CG8505
4312,chr2R,12405882,12405942,Cpr49Af_1,900,+,12405931,12405942,Cpr49Af
4313,chr2R,12407743,12407803,Cpr49Ag_1,900,+,12407792,12407803,Cpr49Ag
4314,chr2R,12408888,12408948,CG30050_1,900,+,12408937,12408948,CG30050
4315,chr2R,12409973,12410033,CG33626_1,900,+,12410022,12410033,CG33626
4316,chr2R,12413896,12413956,Cpr49Ah_1,900,+,12413945,12413956,Cpr49Ah
4317,chr2R,12415994,12416054,CG13157_1,900,+,12416043,12416054,CG13157
4318,chr2R,12419358,12419418,CG42782_1,900,-,12419358,12419369,CG42782
4319,chr2R,12422524,12422584,CG8834_1,900,-,12422524,12422535,CG8834
4320,chr2R,12423505,12423565,CG8520_1,900,+,12423554,12423565,CG8520
4323,chr2R,12427850,12427910,CG13154_1,900,-,12427850,12427861,CG13154
4324,chr2R,12430524,12430584,CG43204_1,900,+,12430573,12430584,CG43204
4325,chr2R,12431061,12431121,Nup54_1,900,-,12431061,12431072,Nup54
4327,chr2R,12436070,12436130,CG30051_1,900,+,12436119,12436130,CG30051
4329,chr2R,12437298,12437358,Dyb_1,900,+,12437347,12437358,Dyb
4330,chr2R,12441286,12441346,CG30334_1,900,-,12441286,12441297,CG30334
4331,chr2R,12453145,12453205,LACH_1,900,+,12453194,12453205,LACH
4333,chr2R,12468611,12468671,CG8545_1,900,+,12468660,12468671,CG8545
4335,chr2R,12471844,12471904,CG8550_1,900,+,12471893,12471904,CG8550
4336,chr2R,12474374,12474434,Dh44-R2_1,900,+,12474423,12474434,Dh44-R2
4337,chr2R,12487444,12487504,CG34234_1,900,-,12487444,12487455,CG34234
4339,chr2R,12495624,12495684,s-cup_1,900,+,12495673,12495684,s-cup
4342,chr2R,12510516,12510576,vis_1,900,-,12510516,12510527,vis
4345,chr2R,12515334,12515394,CG13151_1,900,+,12515383,12515394,CG13151
4346,chr2R,12518876,12518936,CG8818_1,900,-,12518876,12518887,CG8818
4347,chr2R,12519131,12519191,CG8569_1,900,+,12519180,12519191,CG8569
4348,chr2R,12529006,12529066,fra_1,900,+,12529055,12529066,fra
4349,chr2R,12545715,12545775,CG33752_1,900,+,12545764,12545775,CG33752
4350,chr2R,12562010,12562070,CG30056_1,900,+,12562059,12562070,CG30056
4351,chr2R,12564905,12564965,CG33775_1,900,-,12564905,12564916,CG33775
4352,chr2R,12566140,12566200,Cyp301a1_1,900,+,12566189,12566200,Cyp301a1
4353,chr2R,12569814,12569874,Ak6_1,900,-,12569814,12569825,Ak6
4354,chr2R,12570343,12570403,stil_1,900,+,12570392,12570403,stil
4355,chr2R,12572020,12572080,ClC-b_1,900,+,12572069,12572080,ClC-b
4358,chr2R,12593576,12593636,Amph_1,900,+,12593625,12593636,Amph
4359,chr2R,12612726,12612786,Galphaq_1,900,+,12612775,12612786,Galphaq
4360,chr2R,12615741,12615801,GBQ_1,900,+,12615790,12615801,GBQ
4361,chr2R,12623771,12623831,CG30054_1,900,+,12623820,12623831,CG30054
4362,chr2R,12625758,12625818,CG17760_1,900,+,12625807,12625818,CG17760
4363,chr2R,12632230,12632290,CG8811_1,900,-,12632230,12632241,CG8811
4364,chr2R,12632577,12632637,CG33792_1,900,+,12632626,12632637,CG33792
4365,chr2R,12633552,12633612,spt4_1,900,+,12633601,12633612,spt4
4368,chr2R,12636624,12636684,Iswi_1,900,+,12636673,12636684,Iswi
4371,chr2R,12652471,12652531,CG8778_1,900,-,12652471,12652482,CG8778
4372,chr2R,12652760,12652820,ZnT49B_1,900,+,12652809,12652820,ZnT49B
4373,chr2R,12655906,12655966,CG8646_1,900,+,12655955,12655966,CG8646
4382,chr2R,12686152,12686212,CG8771_1,900,-,12686152,12686163,CG8771
4386,chr2R,12689880,12689940,CG30053_1,900,-,12689880,12689891,CG30053
4387,chr2R,12690939,12690999,Obp49a_1,900,-,12690939,12690950,Obp49a
4388,chr2R,12692661,12692721,CG8768_1,900,-,12692661,12692672,CG8768
4389,chr2R,12700028,12700088,wuc_1,900,+,12700077,12700088,wuc
4390,chr2R,12705124,12705184,CG42663_1,900,+,12705173,12705184,CG42663
4391,chr2R,12752948,12753008,mos_1,900,-,12752948,12752959,mos
4396,chr2R,12756391,12756451,mRpL18_1,900,+,12756440,12756451,mRpL18
4397,chr2R,12757504,12757564,ox_1,900,-,12757504,12757515,ox
4398,chr2R,12757606,12757666,GBB2_1,900,+,12757655,12757666,GBB2
4399,chr2R,12760508,12760568,Nacalpha_1,900,-,12760508,12760519,Nacalpha
4400,chr2R,12760808,12760868,CG8759_1,900,-,12760808,12760819,CG8759
4401,chr2R,12762063,12762123,CG12374_1,900,+,12762112,12762123,CG12374
4402,chr2R,12780494,12780554,sca_1,900,+,12780543,12780554,sca
4403,chr2R,12806573,12806633,CG17580_1,900,+,12806622,12806633,CG17580
4404,chr2R,12842568,12842628,Cyp9h1_1,900,-,12842568,12842579,Cyp9h1
4405,chr2R,12846609,12846669,CG17575_1,900,-,12846609,12846620,CG17575
4406,chr2R,12848009,12848069,antr_1,900,-,12848009,12848020,antr
4407,chr2R,12848982,12849042,CG30486_1,900,-,12848982,12848993,CG30486
4410,chr2R,12870206,12870266,CG3644_1,900,+,12870255,12870266,CG3644
4411,chr2R,12874949,12875009,CG3790_1,900,-,12874949,12874960,CG3790
4414,chr2R,12876957,12877017,Aats-asp_1,900,+,12877006,12877017,Aats-asp
4417,chr2R,12879733,12879793,CG3798_1,900,-,12879733,12879744,CG3798
4419,chr2R,12884586,12884646,vg_1,900,+,12884635,12884646,vg
4422,chr2R,12923821,12923881,CG13319_1,900,+,12923870,12923881,CG13319
4425,chr2R,12934026,12934086,CG17019_1,900,-,12934026,12934037,CG17019
4426,chr2R,12936510,12936570,CG13322_1,900,-,12936510,12936521,CG13322
4427,chr2R,12936845,12936905,Sans_1,900,+,12936894,12936905,Sans
4428,chr2R,12938327,12938387,CG30487_1,900,-,12938327,12938338,CG30487
4431,chr2R,12952275,12952335,CG3884_1,900,-,12952275,12952286,CG3884
4432,chr2R,12953510,12953570,CG13321_1,900,+,12953559,12953570,CG13321
4437,chr2R,13047243,13047303,CG13323_1,900,-,13047243,13047254,CG13323
4438,chr2R,13049645,13049705,CG13324_1,900,-,13049645,13049656,CG13324
4439,chr2R,13060127,13060187,CG12463_1,900,-,13060127,13060138,CG12463
4440,chr2R,13079527,13079587,Drl-2_1,900,-,13079527,13079538,Drl-2
4441,chr2R,13103910,13103970,CG44341_1,900,+,13103959,13103970,CG44341
4442,chr2R,13123090,13123150,CG13325_1,900,+,13123139,13123150,CG13325
4443,chr2R,13129043,13129103,CG3955_1,900,-,13129043,13129054,CG3955
4444,chr2R,13132462,13132522,CG13326_1,900,-,13132462,13132473,CG13326
4445,chr2R,13133133,13133193,Cap-G_1,900,+,13133182,13133193,Cap-G
4446,chr2R,13152666,13152726,Ack-like_1,900,-,13152666,13152677,Ack-like
4447,chr2R,13158274,13158334,CG3991_1,900,-,13158274,13158285,CG3991
4449,chr2R,13158644,13158704,CG34439_1,900,+,13158693,13158704,CG34439
4451,chr2R,13160028,13160088,Nrk_1,900,+,13160077,13160088,Nrk
4452,chr2R,13163937,13163997,CG15870_1,900,-,13163937,13163948,CG15870
4453,chr2R,13168018,13168078,GLaz_1,900,-,13168018,13168029,GLaz
4456,chr2R,13171353,13171413,AGBE_1,900,+,13171402,13171413,AGBE
4460,chr2R,13190073,13190133,seq_1,900,-,13190073,13190084,seq
4462,chr2R,13198802,13198862,CG4062_1,900,+,13198851,13198862,CG4062
4465,chr2R,13206696,13206756,FLASH_1,900,+,13206745,13206756,FLASH
4466,chr2R,13210790,13210850,CG34312_1,900,-,13210790,13210801,CG34312
4471,chr2R,13214657,13214717,CG4627_1,900,+,13214706,13214717,CG4627
4472,chr2R,13219236,13219296,CG4630_1,900,-,13219236,13219247,CG4630
4473,chr2R,13220229,13220289,CG4646_1,900,-,13220229,13220240,CG4646
4474,chr2R,13220260,13220320,CG17059_1,900,+,13220309,13220320,CG17059
4480,chr2R,13230190,13230250,Pex13_1,900,-,13230190,13230201,Pex13
4481,chr2R,13230597,13230657,fsd_1,900,+,13230646,13230657,fsd
4484,chr2R,13235936,13235996,CG4676_1,900,+,13235985,13235996,CG4676
4485,chr2R,13239432,13239492,CG4679_1,900,-,13239432,13239443,CG4679
4486,chr2R,13239679,13239739,GstE14_1,900,+,13239728,13239739,GstE14
4487,chr2R,13246623,13246683,Mp20_1,900,+,13246672,13246683,Mp20
4488,chr2R,13251708,13251768,CG4712_1,900,-,13251708,13251719,CG4712
4489,chr2R,13254360,13254420,CG4714_1,900,-,13254360,13254371,CG4714
4490,chr2R,13256537,13256597,CG4716_1,900,+,13256586,13256597,CG4716
4491,chr2R,13257812,13257872,CG10799_1,900,+,13257861,13257872,CG10799
4492,chr2R,13260051,13260111,CG42319_1,900,+,13260100,13260111,CG42319
4493,chr2R,13262435,13262495,CG17041_1,900,+,13262484,13262495,CG17041
4494,chr2R,13295913,13295973,Dh31-R_1,900,-,13295913,13295924,Dh31-R
4495,chr2R,13298467,13298527,CG4734_1,900,-,13298467,13298478,CG4734
4496,chr2R,13299552,13299612,CG17047_1,900,+,13299601,13299612,CG17047
4497,chr2R,13354456,13354516,CG17048_1,900,-,13354456,13354467,CG17048
4498,chr2R,13377715,13377775,CG10814_1,900,-,13377715,13377726,CG10814
4499,chr2R,13393350,13393410,CG43691_1,900,-,13393350,13393361,CG43691
4500,chr2R,13393655,13393715,AttC_1,900,+,13393704,13393715,AttC
4501,chr2R,13399376,13399436,CG4744_1,900,-,13399376,13399387,CG4744
4502,chr2R,13409887,13409947,CG18278_1,900,-,13409887,13409898,CG18278
4503,chr2R,13411690,13411750,CG33470_1,900,+,13411739,13411750,CG33470
4504,chr2R,13414615,13414675,CG30059_1,900,-,13414615,13414626,CG30059
4505,chr2R,13423618,13423678,CG30060_1,900,-,13423618,13423629,CG30060
4509,chr2R,13433014,13433074,CG30065_1,900,+,13433063,13433074,CG30065
4510,chr2R,13434141,13434201,Ser8_1,900,+,13434190,13434201,Ser8
4514,chr2R,13446307,13446367,CG30062_1,900,-,13446307,13446318,CG30062
4517,chr2R,13450590,13450650,cbs_1,900,+,13450639,13450650,cbs
4518,chr2R,13477272,13477332,CG43192_1,900,+,13477321,13477332,CG43192
4519,chr2R,13483206,13483266,arr_1,900,-,13483206,13483217,arr
4520,chr2R,13485372,13485432,cbc_1,900,-,13485372,13485383,cbc
4521,chr2R,13485570,13485630,cid_1,900,+,13485619,13485630,cid
4522,chr2R,13494843,13494903,CG13329_1,900,-,13494843,13494854,CG13329
4529,chr2R,13507515,13507575,CG6050_1,900,+,13507564,13507575,CG6050
4531,chr2R,13515160,13515220,CG13330_1,900,+,13515209,13515220,CG13330
4532,chr2R,13521770,13521830,CG13331_1,900,+,13521819,13521830,CG13331
4533,chr2R,13525303,13525363,CG13332_1,900,+,13525352,13525363,CG13332
4546,chr2R,13554039,13554099,Roe1_1,900,+,13554088,13554099,Roe1
4547,chr2R,13555908,13555968,CG13333_1,900,+,13555957,13555968,CG13333
4548,chr2R,13558473,13558533,CG13334_1,900,+,13558522,13558533,CG13334
4551,chr2R,13574242,13574302,CG42808_1,900,-,13574242,13574253,CG42808
4552,chr2R,13593325,13593385,CG6191_1,900,-,13593325,13593336,CG6191
4553,chr2R,13593611,13593671,fand_1,900,+,13593660,13593671,fand
4554,chr2R,13596631,13596691,S-Lap5_1,900,+,13596680,13596691,S-Lap5
4555,chr2R,13601039,13601099,CG43058_1,900,-,13601039,13601050,CG43058
4558,chr2R,13609154,13609214,CG12464_1,900,-,13609154,13609165,CG12464
4559,chr2R,13622998,13623058,fas_1,900,+,13623047,13623058,fas
4560,chr2R,13663564,13663624,CG6209_1,900,-,13663564,13663575,CG6209
4561,chr2R,13665036,13665096,CG13337_1,900,+,13665085,13665096,CG13337
4562,chr2R,13667690,13667750,CG18368_1,900,+,13667739,13667750,CG18368
4563,chr2R,13693388,13693448,CG6220_1,900,-,13693388,13693399,CG6220
4564,chr2R,13753889,13753949,CG6280_1,900,+,13753938,13753949,CG6280
4565,chr2R,13769865,13769925,Cpr50Ca_1,900,+,13769914,13769925,Cpr50Ca
4566,chr2R,13780214,13780274,S-Lap7_1,900,-,13780214,13780225,S-Lap7
4567,chr2R,13794734,13794794,Cpr50Cb_1,900,+,13794783,13794794,Cpr50Cb
4570,chr2R,13824538,13824598,CG6315_1,900,-,13824538,13824549,CG6315
4571,chr2R,13824813,13824873,CG13339_1,900,+,13824862,13824873,CG13339
4575,chr2R,13835077,13835137,CG6337_1,900,-,13835077,13835088,CG6337
4576,chr2R,13836371,13836431,CG6347_1,900,+,13836420,13836431,CG6347
4577,chr2R,13840007,13840067,CG6357_1,900,+,13840056,13840067,CG6357
4578,chr2R,13846217,13846277,Syngr_1,900,-,13846217,13846228,Syngr
4579,chr2R,13846392,13846452,CG30484_1,900,+,13846441,13846452,CG30484
4580,chr2R,13849788,13849848,CG30485_1,900,+,13849837,13849848,CG30485
4581,chr2R,13854288,13854348,CG18645_1,900,-,13854288,13854299,CG18645
4582,chr2R,13855767,13855827,CG6553_1,900,-,13855767,13855778,CG6553
4583,chr2R,13858650,13858710,CG13345_1,900,-,13858650,13858661,CG13345
4584,chr2R,13858925,13858985,Uba3_1,900,+,13858974,13858985,Uba3
4585,chr2R,13861887,13861947,CG16935_1,900,-,13861887,13861898,CG16935
4586,chr2R,13861948,13862008,CG13344_1,900,+,13861997,13862008,CG13344
4591,chr2R,13943394,13943454,DJ-1alpha_1,900,-,13943394,13943405,DJ-1alpha
4593,chr2R,13954152,13954212,mRpL53_1,900,+,13954201,13954212,mRpL53
4594,chr2R,13954449,13954509,CG33184_1,900,+,13954498,13954509,CG33184
4599,chr2R,13960666,13960726,CATL_1,900,+,13960715,13960726,CATL
4601,chr2R,13964603,13964663,CG42806_1,900,+,13964652,13964663,CG42806
4603,chr2R,13968259,13968319,Aats-phe_1,900,+,13968308,13968319,Aats-phe
4606,chr2R,13972823,13972883,CG18568_1,900,-,13972823,13972834,CG18568
4610,chr2R,13983298,13983358,Ctf4_1,900,-,13983298,13983309,Ctf4
4613,chr2R,13990405,13990465,RN-tre_1,900,-,13990405,13990416,RN-tre
4614,chr2R,13990665,13990725,CG13351_1,900,-,13990665,13990676,CG13351
4617,chr2R,14028582,14028642,CG18371_1,900,+,14028631,14028642,CG18371
4619,chr2R,14090256,14090316,CG42287_1,900,+,14090305,14090316,CG42287
4620,chr2R,14090992,14091052,CG42288_1,900,+,14091041,14091052,CG42288
4621,chr2R,14140884,14140944,Prosap_1,900,-,14140884,14140895,Prosap
4624,chr2R,14153106,14153166,pea_1,900,+,14153155,14153166,pea
4625,chr2R,14157500,14157560,CG13018_1,900,-,14157500,14157511,CG13018
4626,chr2R,14157719,14157779,CG13016_1,900,+,14157768,14157779,CG13016
4627,chr2R,14161223,14161283,CG8257_1,900,-,14161223,14161234,CG8257
4628,chr2R,14161388,14161448,O-fut1_1,900,+,14161437,14161448,O-fut1
4629,chr2R,14164610,14164670,CG8309_1,900,-,14164610,14164621,CG8309
4630,chr2R,14164786,14164846,Tango7_1,900,-,14164786,14164797,Tango7
4631,chr2R,14165056,14165116,CG8323_1,900,+,14165105,14165116,CG8323
4632,chr2R,14167002,14167062,CG18327_1,900,+,14167051,14167062,CG18327
4633,chr2R,14168748,14168808,CG18324_1,900,+,14168797,14168808,CG18324
4637,chr2R,14173558,14173618,mRpS16_1,900,-,14173558,14173569,mRpS16
4638,chr2R,14173677,14173737,cg_1,900,+,14173726,14173737,cg
4639,chr2R,14185154,14185214,CG30069_1,900,+,14185203,14185214,CG30069
4640,chr2R,14201236,14201296,VGAT_1,900,-,14201236,14201247,VGAT
4641,chr2R,14212400,14212460,Sox15_1,900,-,14212400,14212411,Sox15
4642,chr2R,14216560,14216620,CG8415_1,900,-,14216560,14216571,CG8415
4643,chr2R,14219850,14219910,CG8468_1,900,+,14219899,14219910,CG8468
4644,chr2R,14235390,14235450,Opa1_1,900,-,14235390,14235401,Opa1
4647,chr2R,14239882,14239942,CG8494_1,900,+,14239931,14239942,CG8494
4648,chr2R,14243763,14243823,CG8503_1,900,+,14243812,14243823,CG8503
4649,chr2R,14246907,14246967,Mdr50_1,900,+,14246956,14246967,Mdr50
4650,chr2R,14256021,14256081,HS7E_1,900,-,14256021,14256032,HS7E
4651,chr2R,14256212,14256272,Hsc70-5_1,900,-,14256212,14256223,Hsc70-5
4652,chr2R,14256471,14256531,CG8531_1,900,+,14256520,14256531,CG8531
4653,chr2R,14259007,14259067,beta4GalNAcTA_1,900,+,14259056,14259067,beta4GalNAcTA
4656,chr2R,14270632,14270692,SelD_1,900,-,14270632,14270643,SelD
4662,chr2R,14302302,14302362,tej_1,900,-,14302302,14302313,tej
4666,chr2R,14352230,14352290,CG8613_1,900,+,14352279,14352290,CG8613
4667,chr2R,14357236,14357296,CG8617_1,900,-,14357236,14357247,CG8617
4668,chr2R,14360276,14360336,CG12505_1,900,-,14360276,14360287,CG12505
4669,chr2R,14361874,14361934,Arc2_1,900,+,14361923,14361934,Arc2
4670,chr2R,14363001,14363061,Tfb1_1,900,+,14363050,14363061,Tfb1
4671,chr2R,14366748,14366808,CG34442_1,900,+,14366797,14366808,CG34442
4672,chr2R,14367929,14367989,CG34443_1,900,+,14367978,14367989,CG34443
4673,chr2R,14369167,14369227,CG34444_1,900,+,14369216,14369227,CG34444
4674,chr2R,14371117,14371177,Obp50b_1,900,+,14371166,14371177,Obp50b
4675,chr2R,14373055,14373115,Obp50d_1,900,+,14373104,14373115,Obp50d
4676,chr2R,14375369,14375429,Obp50e_1,900,-,14375369,14375380,Obp50e
4677,chr2R,14375814,14375874,CG30075_1,900,+,14375863,14375874,CG30075
4678,chr2R,14378049,14378109,Dh44-R1_1,900,+,14378098,14378109,Dh44-R1
4679,chr2R,14390687,14390747,CG10104_1,900,+,14390736,14390747,CG10104
4680,chr2R,14411561,14411621,CG17385_1,900,-,14411561,14411572,CG17385
4681,chr2R,14411785,14411845,Sin1_1,900,+,14411834,14411845,Sin1
4682,chr2R,14420274,14420334,CG17386_1,900,+,14420323,14420334,CG17386
4683,chr2R,14432323,14432383,CG10108_1,900,-,14432323,14432334,CG10108
4686,chr2R,14481189,14481249,L_1,900,+,14481238,14481249,L
4687,chr2R,14503460,14503520,Cpsf160_1,900,-,14503460,14503471,Cpsf160
4691,chr2R,14513996,14514056,CG30197_1,900,+,14514045,14514056,CG30197
4692,chr2R,14515192,14515252,Cpr51A_1,900,-,14515192,14515203,Cpr51A
4695,chr2R,14546365,14546425,CG30076_1,900,-,14546365,14546376,CG30076
4696,chr2R,14554376,14554436,CG43919_1,900,-,14554376,14554387,CG43919
4698,chr2R,14575756,14575816,LamC_1,900,-,14575756,14575767,LamC
4702,chr2R,14601192,14601252,RpI1_1,900,-,14601192,14601203,RpI1
4703,chr2R,14601228,14601288,Blos1_1,900,+,14601277,14601288,Blos1
4706,chr2R,14605231,14605291,CG12868_1,900,-,14605231,14605242,CG12868
4707,chr2R,14606291,14606351,CG33469_1,900,-,14606291,14606302,CG33469
4708,chr2R,14606966,14607026,CG33468_1,900,-,14606966,14606977,CG33468
4709,chr2R,14618101,14618161,Su(var)2-HP2_1,900,-,14618101,14618112,Su(var)2-HP2
4710,chr2R,14618754,14618814,CG10130_1,900,+,14618803,14618814,CG10130
4711,chr2R,14621307,14621367,CG12863_1,900,-,14621307,14621318,CG12863
4712,chr2R,14629863,14629923,CG10131_1,900,+,14629912,14629923,CG10131
4713,chr2R,14638494,14638554,CG43236_1,900,+,14638543,14638554,CG43236
4714,chr2R,14645237,14645297,CG10139_1,900,+,14645286,14645297,CG10139
4715,chr2R,14658727,14658787,Adgf-E_1,900,-,14658727,14658738,Adgf-E
4716,chr2R,14665346,14665406,CG12861_1,900,-,14665346,14665357,CG12861
4717,chr2R,14666774,14666834,CG12860_1,900,-,14666774,14666785,CG12860
4718,chr2R,14668317,14668377,CG12866_1,900,+,14668366,14668377,CG12866
4719,chr2R,14675046,14675106,CG30479_1,900,-,14675046,14675057,CG30479
4720,chr2R,14678122,14678182,CG30480_1,900,-,14678122,14678133,CG30480
4721,chr2R,14713609,14713669,mspo_1,900,-,14713609,14713620,mspo
4722,chr2R,14745318,14745378,CG12858_1,900,-,14745318,14745329,CG12858
4723,chr2R,14745906,14745966,Dro_1,900,+,14745955,14745966,Dro
4724,chr2R,14747309,14747369,AttA_1,900,+,14747358,14747369,AttA
4725,chr2R,14749173,14749233,AttB_1,900,+,14749222,14749233,AttB
4727,chr2R,14752479,14752539,ave_1,900,+,14752528,14752539,ave
4732,chr2R,14756484,14756544,CG12859_1,900,+,14756533,14756544,CG12859
4733,chr2R,14757817,14757877,Trs31_1,900,-,14757817,14757828,Trs31
4734,chr2R,14759608,14759668,CG12857_1,900,-,14759608,14759619,CG12857
4735,chr2R,14769409,14769469,CG10155_1,900,-,14769409,14769420,CG10155
4741,chr2R,14808375,14808435,hui_1,900,+,14808424,14808435,hui
4742,chr2R,14819979,14820039,CG10202_1,900,-,14819979,14819990,CG10202
4743,chr2R,14832784,14832844,CG10205_1,900,+,14832833,14832844,CG10205
4744,chr2R,14845526,14845586,NaPi-T_1,900,-,14845526,14845537,NaPi-T
4745,chr2R,14848343,14848403,CG10209_1,900,-,14848343,14848354,CG10209
4746,chr2R,14852621,14852681,SMC2_1,900,-,14852621,14852632,SMC2
4747,chr2R,14852891,14852951,Ercc1_1,900,+,14852940,14852951,Ercc1
4748,chr2R,14855001,14855061,Ciao1_1,900,-,14855001,14855012,Ciao1
4749,chr2R,14855404,14855464,HPS1_1,900,+,14855453,14855464,HPS1
4750,chr2R,14858629,14858689,CG33506_1,900,-,14858629,14858640,CG33506
4751,chr2R,14860744,14860804,U3-55K_1,900,-,14860744,14860755,U3-55K
4752,chr2R,14871057,14871117,Inr-a_1,900,-,14871057,14871068,Inr-a
4755,chr2R,14873904,14873964,Cyp6a17_1,900,+,14873953,14873964,Cyp6a17
4756,chr2R,14875785,14875845,Cyp6a23_1,900,+,14875834,14875845,Cyp6a23
4757,chr2R,14877738,14877798,Cyp6a19_1,900,+,14877787,14877798,Cyp6a19
